id,text,Anger,Disgust,Fear,Sadness,Joy,Surprise,Neutral
orm_sample_track1_00001,Walitti bu'iinsa naannoo kibbaatti uumameen shakkamtoonni to'annoo jala oolaniiru.,0,0,0,0,0,0,1
orm_sample_track1_00002,Si'ool afaan banee si eegaa jira itti deemi,0,0,0,0,0,0,1
orm_sample_track1_00003,AfrikaaaAwwwala Rooobart mugaaabe yerooo 3fffa irrrattti waliii gala ufffata adiii meeetira 2 qofan yotae kun gaaatiii hin qabu salphinaaa moootummmata hundati Aniii kan sadafffan filadha,0,0,0,0,0,0,1
orm_sample_track1_00004,Kahadhaabahiqabineenyuisahime,0,0,0,0,0,0,1
orm_sample_track1_00005,Namni falfalaaan dhamaeeef bakkkuma Argeeetiii dedeeemaaa jirata,0,1,0,0,0,0,0
orm_sample_track1_00006,Hi buyyyitumani dhumine barana dhirooo oromooo ficile motumaaa hamaaa kanaaa balesssa nuraaa ,1,0,0,0,0,0,0
orm_sample_track1_00007,Paastar Daani'eel: Lallabaan kiristaanaa humna leencota madaqsuu qaba jechuun soba ta'e,0,0,0,0,0,0,1
orm_sample_track1_00008,Guyyyooo bayyyeee siyaaannneee turrreee bagaaa deeebite gara dalagaaa keeeti,0,0,0,0,1,0,0
orm_sample_track1_00009,Bataskaanni Ortodoksii Itoophiyaa ajjeechaa 'amantoota 36' Shirkaatti raawwate balaaleeffatte,0,0,0,0,0,0,1
orm_sample_track1_00010,Qamisiii hadhaaa keee jala tate barrresssun salphadhaaa garuuu uuummmannni keeenyaaa mirgaaa lubbbuuun jirachuyuuu dhabeee jiraaa,1,0,0,0,0,0,0
orm_sample_track1_00011,Iccitiin ajjeechaa manokseewwan kudha tokko duuba ture,0,0,0,0,0,0,1
orm_sample_track1_00012,Kkkk rabbbiiin isiii haaa fashalesssu oromooon tolchern filattti warrra sodaaatan keeeysa dhiiisu   eee bada oromo gowwwa,0,1,0,0,0,0,0
orm_sample_track1_00013,Gumaaa goootowwwan keeenyaaa in baa   Abiyi fi ergamtooonnni isaaa gatiii hadhaaawaaa in baaasu,1,0,0,0,0,0,0
orm_sample_track1_00014,Kijibaaa  abaaa sobaaa,0,1,0,0,0,0,0
orm_sample_track1_00015,Mal fidaaan itophian tokkko tateee jirti isiiin qarshiii Egyptian oduuu sobaaa kesssan enyuuu illleee hindhagauuu isiiin shorokesssaaa waaan tataniiif,0,1,0,0,0,0,0
orm_sample_track1_00016,Tishiii dhamaa maaaliii jedha kuni,0,1,0,0,0,0,0
orm_sample_track1_00017,sabontusanyijawarmuhamad33324  Maaal ballleeessse reee innni maaaf arrrabsita nafxanyaaaf woyyyaaaneeenillleee diiina keeenya dhugaaa jedheee,0,1,0,0,0,0,0
orm_sample_track1_00018,Magaalaa turistoonni maqaa jaalalaan sossobamanii waamamuun itti ajjeeffaman,0,0,0,1,0,0,0
orm_sample_track1_00019,Galatomaaa obleyannn tiyaaa jabadaaa dthamaqaaa lafaaa ,0,0,0,0,1,0,0
orm_sample_track1_00020,Yoooyyyaaa ashamaaa jirrraaaamshiiir yaaarabbbiii,0,0,0,0,1,0,0
orm_sample_track1_00021,Oromon kan nutttiii beeeknuuu sefuuu bekkka isiiin oromofa dubataniii ummmataaa kenyaaan daldaluuu barbadaaan yo illleee hatau biyyyeee jequuundhan kayyyooo sherorkeeesumaaa kesssan hin milkauuu juwwwaaar yo diqateee wagaaa gutuuu isaaa mana hidhaaa kesaaa dabarsaaa juntaaan immmooo kanaaan bodaaa suraaa qofa tae d,1,1,0,0,0,0,0
orm_sample_track1_00022,Yoyaaa   amasiii   yoyaaa   ijaaa   fi guraaa umataaa   oromooo   OmN   hamaaa   isin   dhagefadhuuutiii fayaaa arakadhuuu,0,0,0,0,1,0,0
orm_sample_track1_00023,Jajjjaaabbbeee qomooo kooo Jabadhaaa galataaa qabduuu,0,0,0,0,1,0,0
orm_sample_track1_00024,Israa'elitti walitti bu'insa poolisii fi baqattoota Ertiraa gidduutti mudateen miidhaan qaqqabe,0,0,0,0,0,0,1
orm_sample_track1_00025,Jabadhaaanuuutisisssuingbiraaajiraaawaaariiionoduuubareduuubiraaahahahajirtaaaniiigalllatooomaaa,0,0,0,0,1,0,0
orm_sample_track1_00026,US dhiyeessii deeggarsa nyaataa Itoophiyaatti adda kuttee ture deebistee eegaluuf,0,0,0,0,0,0,1
orm_sample_track1_00027,Naannoo Gambeellaatti godaantonni 30 ta'an beelaafi haleellaa irra ga'uun du'an- Komishinii,0,0,0,0,0,0,1
orm_sample_track1_00028,Omnbilbilaaakesaaaninafikeeenaaakaroookeeenaisinifikeeenaaaaniiisomalilandjiraaa,0,0,0,0,0,0,1
orm_sample_track1_00029,Oromooo saba gudaaa kabaja jalata   wbooo jabeeesssuuu qaban,0,0,0,0,0,0,1
orm_sample_track1_00030,Lammiileen Itoophiyaa Somaalilaand jiran miidhaan irra gahaa jiraachuu himatu,0,0,0,1,0,0,0
orm_sample_track1_00031,Badiii asiii diqaaala haaadharaw dhiiigi qulqullluuu jeta qulqullluma esati bektaaa dhala gidira opdo kaleee ppp hardhati miti kan oromooo dhiiiga qulqullluuu jiksaaa ture lubbbuuu qerrrooo oromooo badiii asiii nafxanyuma yooo lafe qabate deeemi media nafxanyaaa lali,0,1,0,0,0,0,0
orm_sample_track1_00032,Welcomekabajamtotafi Jalatamtotakenyanufjiradha Sagalesitotaomnmaddda Burqaoromofioromuma,0,0,0,0,1,0,0
orm_sample_track1_00033,Kkkk   isaaayas afaaan worqiii jedhe guyyyooon lol,0,0,0,0,0,0,1
orm_sample_track1_00034,Maareen Jaldeessaa baadiyaarraa gara magaalotaatti dhufaa jira - WHO,0,0,0,0,0,0,1
orm_sample_track1_00035,"Addunyaan rakkoo Covid, maaree-jaldeessaafi waraanaa keessa jirti - WHO",0,0,0,0,0,0,1
orm_sample_track1_00036,Kovid sodaa fayyaa addunyaa tahuu hafuusaa WHOn labse,0,0,0,0,0,0,1
orm_sample_track1_00037,merimali8598 wuyiii guyyyaaa sadi giddduuuttti naaa dagatttemalooo sodaaattte hin waaakkkatin,1,0,0,0,0,0,0
orm_sample_track1_00038,Yoooyyyaaa OMN harka fuuune Abrahim baga nghn dhufte qaaaliii keeenya  jawaaariiin kan hidhe OPDO tauuu eeenyullleee hin wolllaaalu jawwweee kooo anaaan haaadhooo kooo bakkka keee anattti,0,0,0,0,1,0,0
orm_sample_track1_00039,Yesusi fayisadhaaa kaaaraaadhaaa jiiireeenyadhaaa dhugaaadhaaa dhufuuun iyasusiii dhiiiyateeeraaa,0,0,0,0,0,0,1
orm_sample_track1_00040,Fayyaa: Maareen-jaldeessaan Itoophiyaaf hangam yaaddoodhaa?,0,0,0,0,0,0,1
orm_sample_track1_00041,Welcomeomnkabajamtota Kenyayihunkabajamaoromooo Nufjiradhusagalesabaaa,0,0,0,0,1,0,0
orm_sample_track1_00042,Guyyyooo Leeencaaa keeenyaaa nuuuf jiradhu sanyiii kooo,0,0,0,0,1,0,0
orm_sample_track1_00043,Haaala yerooo ammma naaannnooon keeenya hojiiin misooomaaa ittti qabateee jiru ajaaaibsiiisaaa dha Seeekterooonnni sadarkaaan jiran haaala walfakkkaaataaan osooo sochuuuf dhamaaniii ammmooo heddduuu gaaariii dha Heddduuu namattti tola Dhimmmi nageeenyaaa ammmooo hojiii yerooo maraaa taeee Oromooon gara tokkkummmaaattti dhufeee gaaariii dha,0,0,0,0,1,0,0
orm_sample_track1_00044,Dhalataa Itoophiyaa yeroo boqonnaa taphattoota beekamoof haala mijeessu,0,0,0,0,0,0,1
orm_sample_track1_00045,"Itoophiyaan, Seeraaliyoon waliin hurrii dukkanaa'e keessa taphachuushee Fifaatti iyyatte",0,0,0,0,0,0,1
orm_sample_track1_00046,Wooowwwuuu sagaleee Yihuuun nan dhagahaaa jechuuudha galata waqayyyooo,0,0,0,0,0,1,0
orm_sample_track1_00047,Wel come OMN ijafi gura ummmata oromoti ,0,0,0,0,1,0,0
orm_sample_track1_00048,Baaayyyeee gaaariiidha akkkanumatttiii ttti fufaaa,0,0,0,0,1,0,0
orm_sample_track1_00049,Subscrbe naf godhiii galatooomiii gottta kooo qali,0,0,0,0,1,0,0
orm_sample_track1_00050,Gamaaagama gaaariii ture,0,0,0,0,1,0,0
